,0,1,2
163,historicapolitica/besoldusopus12_4.xml,Argentorati , 1626.
164,historicapolitica/besoldusopus12_front.xml,Argentorati , 1626.
165,historicapolitica/besoldusopus13.xml,Argentorati , 1626.
166,historicapolitica/besoldusopus1_1.xml,Argentorati , 1626.
167,historicapolitica/besoldusopus1_2.xml,Argentorati , 1626.
168,historicapolitica/besoldusopus1_front.xml,Argentorati , 1626.
169,historicapolitica/besoldusopus2_1.xml,Argentorati , 1626.
170,historicapolitica/besoldusopus2_2.xml,Argentorati , 1626.
171,historicapolitica/besoldusopus2_3.xml,Argentorati , 1626.
172,historicapolitica/besoldusopus2_4.xml,Argentorati , 1626.
173,historicapolitica/besoldusopus2_front.xml,Argentorati , 1626.
174,historicapolitica/besoldusopus3_1.xml,Argentorati , 1626.
175,historicapolitica/besoldusopus3_2.xml,Argentorati , 1626.
176,historicapolitica/besoldusopus3_3.xml,Argentorati , 1626.
177,historicapolitica/besoldusopus3_4.xml,Argentorati , 1626.
178,historicapolitica/besoldusopus3_5.xml,Argentorati , 1626.
179,historicapolitica/besoldusopus3_front.xml,Argentorati , 1626.
180,historicapolitica/besoldusopus4_1.xml,Argentorati , 1626.
181,historicapolitica/besoldusopus4_2.xml,Argentorati , 1626.
182,historicapolitica/besoldusopus4_front.xml,Argentorati , 1626.
183,historicapolitica/besoldusopus5_1.xml,Argentorati , 1626.
184,historicapolitica/besoldusopus5_2.xml,Argentorati , 1626.
185,historicapolitica/besoldusopus5_3.xml,Argentorati , 1626.
186,historicapolitica/besoldusopus5_4.xml,Argentorati , 1626.
187,historicapolitica/besoldusopus5_5.xml,Argentorati , 1626.
188,historicapolitica/besoldusopus5_6.xml,Argentorati , 1626.
189,historicapolitica/besoldusopus5_front.xml,Argentorati , 1626.
190,historicapolitica/besoldusopus6_1.xml,Argentorati , 1626.
191,historicapolitica/besoldusopus6_2.xml,Argentorati , 1626.
192,historicapolitica/besoldusopus6_3.xml,Argentorati , 1626.
193,historicapolitica/besoldusopus6_front.xml,Argentorati , 1626.
194,historicapolitica/besoldusopus7_1.xml,Argentorati , 1626.
195,historicapolitica/besoldusopus7_2.xml,Argentorati , 1626.
196,historicapolitica/besoldusopus7_3.xml,Argentorati , 1626.
197,historicapolitica/besoldusopus7_4.xml,Argentorati , 1626.
198,historicapolitica/besoldusopus7_front.xml,Argentorati , 1626.
199,historicapolitica/besoldusopus8.xml,Argentorati , 1626.
200,historicapolitica/besoldusopus9_1.xml,Argentorati , 1626.
201,historicapolitica/besoldusopus9_2.xml,Argentorati , 1626.
202,historicapolitica/besoldusopus9_3.xml,Argentorati , 1626.
203,historicapolitica/besoldusopus9_front.xml,Argentorati , 1626.
204,historicapolitica/besoldussynopsis_1.xml,Amstelodami , 1648.
205,historicapolitica/besoldussynopsis_2.xml,Amstelodami , 1648.
206,historicapolitica/besoldussynopsis_3.xml,Amstelodami , 1648.
207,historicapolitica/besoldussynopsis_4.xml,Amstelodami , 1648.
208,historicapolitica/besoldussynopsis_5.xml,Amstelodami , 1648.
209,historicapolitica/besoldussynopsis_6.xml,Amstelodami , 1648.
210,historicapolitica/besoldussynopsis_7.xml,Amstelodami , 1648.
211,historicapolitica/besoldussynopsis_front.xml,Amstelodami , 1648.
212,historicapolitica/besoldustractatus_1.xml,Augsburg, Weh; Ingolstadt
213,historicapolitica/besoldustractatus_2.xml,Augsburg, Weh; Ingolstadt
214,historicapolitica/besoldustractatus_3.xml,Augsburg, Weh; Ingolstadt
215,historicapolitica/besoldustractatus_front.xml,Augsburg, Weh; Ingolstadt
216,historicapolitica/Beze_vindiciae.xml,no place, 1580.
217,historicapolitica/bisseliusleo_1.xml,Amberg, 1677.
218,historicapolitica/bisseliusleo_2.xml,Amberg, 1677.
219,historicapolitica/bisseliusleo_3.xml,Amberg, 1677.
220,historicapolitica/bisseliusleo_4.xml,Amberg, 1677.
221,historicapolitica/bisseliusleo_5.xml,Amberg, 1677.
222,historicapolitica/bisseliusleo_6.xml,Amberg, 1677.
223,historicapolitica/bisseliusleo_front.xml,Amberg, 1677.
224,historicapolitica/bodinusrespublica_1.xml,Francofurti , 1594.
225,historicapolitica/bodinusrespublica_front.xml,Francofurti , 1594.
226,historicapolitica/boecklerdissertationes_1.xml,Argentorati, 1701-1712.
227,historicapolitica/boecklerdissertationes_front.xml,Argentorati, 1701-1712.
228,historicapolitica/boecklergrotius_1.xml,Straßburg, 1704.
229,historicapolitica/boecklergrotius_10.xml,Straßburg, 1704.
230,historicapolitica/boecklergrotius_11.xml,Straßburg, 1704.
231,historicapolitica/boecklergrotius_12.xml,Straßburg, 1704.
232,historicapolitica/boecklergrotius_13.xml,Straßburg, 1704.
233,historicapolitica/boecklergrotius_14.xml,Straßburg, 1704.
234,historicapolitica/boecklergrotius_15.xml,Straßburg, 1704.
235,historicapolitica/boecklergrotius_16.xml,Straßburg, 1704.
236,historicapolitica/boecklergrotius_17.xml,Straßburg, 1704.
237,historicapolitica/boecklergrotius_2.xml,Straßburg, 1704.
238,historicapolitica/boecklergrotius_3.xml,Straßburg, 1704.
239,historicapolitica/boecklergrotius_4.xml,Straßburg, 1704.
240,historicapolitica/boecklergrotius_5.xml,Straßburg, 1704.
241,historicapolitica/boecklergrotius_6.xml,Straßburg, 1704.
242,historicapolitica/boecklergrotius_7.xml,Straßburg, 1704.
243,historicapolitica/boecklergrotius_8.xml,Straßburg, 1704.
244,historicapolitica/boecklergrotius_9.xml,Straßburg, 1704.
245,historicapolitica/boecklergrotius_front.xml,Straßburg, 1704.
246,historicapolitica/boecklerinstitutiones_1.xml,Argentorati , 1674.
247,historicapolitica/boecklerinstitutiones_10.xml,Argentorati , 1674.
248,historicapolitica/boecklerinstitutiones_11.xml,Argentorati , 1674.
249,historicapolitica/boecklerinstitutiones_2.xml,Argentorati , 1674.
250,historicapolitica/boecklerinstitutiones_3.xml,Argentorati , 1674.
251,historicapolitica/boecklerinstitutiones_4.xml,Argentorati , 1674.
252,historicapolitica/boecklerinstitutiones_5.xml,Argentorati , 1674.
253,historicapolitica/boecklerinstitutiones_6.xml,Argentorati , 1674.
254,historicapolitica/boecklerinstitutiones_7.xml,Argentorati , 1674.
255,historicapolitica/boecklerinstitutiones_8.xml,Argentorati , 1674.
256,historicapolitica/boecklerinstitutiones_9.xml,Argentorati , 1674.
257,historicapolitica/boecklerinstitutiones_front.xml,Argentorati , 1674.
258,historicapolitica/Boehme_mores.xml,Lugduni, 1541
259,historicapolitica/Boehme_mores_index.xml,Lugduni, 1541
260,historicapolitica/bornitiusaerarium_1.xml,Francofurti , 1612.
261,historicapolitica/bornitiusaerarium_10.xml,Francofurti , 1612.
262,historicapolitica/bornitiusaerarium_2.xml,Francofurti , 1612.
263,historicapolitica/bornitiusaerarium_3.xml,Francofurti , 1612.
264,historicapolitica/bornitiusaerarium_4.xml,Francofurti , 1612.
265,historicapolitica/bornitiusaerarium_5.xml,Francofurti , 1612.
